product,quantity,totalharga,waktutransaksi
Cappucinno,2,20000,29/05/2023 10.24.25
Cappucinno,2,20000,29/05/2023 10.35.09
Cappucinno,2,20000,29/05/2023 10.37.45
Cappucinno,3,30000,29/05/2023 10.38.23
Cappucinno,1,10000,29/05/2023 10.39.59
Cappucinno,1,10000,29/05/2023 10.40.51
Choco Lava,2,36000,29/05/2023 11.41.19
Choco Lava,1,18000,29/05/2023 11.42.40
Choco Lava,2,36000,29/05/2023 11.43.02
Choco Lava,10,180000,29/05/2023 11.46.25
Espresso,1,13000,29/05/2023 11.54.22
Espresso,1,13000,29/05/2023 11.56.42
Espresso,0,0,29/05/2023 11.58.52
